,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
157,Akasa Air,QP 1359,Bengaluru,04:30:00,New Delhi,07:10,02 h 40 m,5552
73,IndiGo,6E 5255,Bengaluru,18:00:00,Mumbai,19:50,01 h 50 m,5595
158,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,5596
159,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,5596
160,SpiceJet,SG 8198,Bengaluru,20:10:00,New Delhi,23:20,03 h 10 m,5596
113,IndiGo,6E 2338,New Delhi,20:55:00,Bengaluru,23:40,02 h 45 m,5599
161,Air India,AI 804,Bengaluru,05:45:00,New Delhi,08:40,02 h 55 m,5618
162,Air India,AI 503,Bengaluru,17:15:00,New Delhi,20:05,02 h 50 m,5618
400,SpiceJet,SG 160,Hyderabad,06:10:00,New Delhi,08:25,02 h 15 m,5629
374,Vistara,UK 829,New Delhi,07:20:00,Hyderabad,09:30,02 h 10 m,5692
163,IndiGo,6E 122,Bengaluru,07:00:00,New Delhi,09:45,02 h 45 m,5717
164,AirAsia,I5 741,Bengaluru,11:15:00,New Delhi,14:05,02 h 50 m,5717
165,AirAsia,I5 741,Bengaluru,11:15:00,New Delhi,14:05,02 h 50 m,5717
166,IndiGo,6E 2401,Bengaluru,13:50:00,New Delhi,16:35,02 h 45 m,5717
167,IndiGo,6E 2053,Bengaluru,23:15:00,New Delhi,"02:10
+ 1 DAY",02 h 55 m,5717
234,Vistara,UK 941,New Delhi,16:55:00,Mumbai,19:05,02 h 10 m,5744
235,Vistara,UK 999,New Delhi,21:55:00,Mumbai,"00:10
+ 1 DAY",02 h 15 m,5744
168,Akasa Air,QP 1405,Bengaluru,09:15:00,New Delhi,12:05,02 h 50 m,5772
169,Vistara,UK 802,Bengaluru,18:45:00,New Delhi,21:25,02 h 40 m,5776
29,Air India,AI 641,Mumbai,18:55:00,Bengaluru,20:25,01 h 30 m,5783
305,IndiGo,6E 2788,New Delhi,02:55:00,Kolkata,05:10,02 h 15 m,5849
306,IndiGo,6E 2788,New Delhi,02:55:00,Kolkata,05:10,02 h 15 m,5849
307,IndiGo,6E 282,New Delhi,10:10:00,Kolkata,12:10,02 h,5849
308,IndiGo,6E 6557,New Delhi,13:00:00,Kolkata,15:00,02 h,5849
170,Air India,AI 501,Bengaluru,13:15:00,New Delhi,15:55,02 h 40 m,5881
171,Air India,AI 501,Bengaluru,13:15:00,New Delhi,15:55,02 h 40 m,5881
309,Vistara,UK 707,New Delhi,17:35:00,Kolkata,19:35,02 h,5881
401,Vistara,UK 830,Hyderabad,10:10:00,New Delhi,12:30,02 h 20 m,5905
402,Vistara,UK 830,Hyderabad,10:10:00,New Delhi,12:30,02 h 20 m,5905
271,Air India,AI 806,Mumbai,08:00:00,New Delhi,10:15,02 h 15 m,5919
30,Vistara,UK 865,Mumbai,18:55:00,Bengaluru,20:55,02 h,5966
310,SpiceJet,SG 8263,New Delhi,07:10:00,Kolkata,09:30,02 h 20 m,5986
172,IndiGo,6E 871,Bengaluru,10:30:00,New Delhi,13:20,02 h 50 m,5992
316,IndiGo,6E 5214,Kolkata,05:25:00,New Delhi,07:50,02 h 25 m,6020
317,IndiGo,6E 375,Kolkata,07:00:00,New Delhi,09:15,02 h 15 m,6020
318,IndiGo,6E 6183,Kolkata,18:55:00,New Delhi,21:10,02 h 15 m,6020
319,IndiGo,6E 898,Kolkata,19:35:00,New Delhi,21:55,02 h 20 m,6020
320,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,6020
321,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,6020
322,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,6020
323,IndiGo,6E 2716,Kolkata,21:45:00,New Delhi,"00:05
+ 1 DAY",02 h 20 m,6020
324,IndiGo,6E 2716,Kolkata,21:45:00,New Delhi,"00:05
+ 1 DAY",02 h 20 m,6020
325,SpiceJet,SG 8265,Kolkata,22:20:00,New Delhi,"00:30
+ 1 DAY",02 h 10 m,6020
326,IndiGo,6E 2746,Kolkata,23:45:00,New Delhi,"02:00
+ 1 DAY",02 h 15 m,6020
114,Vistara,UK 813,New Delhi,17:40:00,Bengaluru,20:30,02 h 50 m,6028
327,Air India,AI 763,Kolkata,06:55:00,New Delhi,09:15,02 h 20 m,6063
328,Vistara,UK 778,Kolkata,15:15:00,New Delhi,17:50,02 h 35 m,6063
329,Air India,AI 768,Kolkata,15:25:00,New Delhi,18:10,02 h 45 m,6063
330,Air India,AI 768,Kolkata,15:25:00,New Delhi,18:10,02 h 45 m,6063
331,Air India,AI 770,Kolkata,20:00:00,New Delhi,22:35,02 h 35 m,6063
332,SpiceJet,SG 8373,Kolkata,10:50:00,New Delhi,13:10,02 h 20 m,6064
333,SpiceJet,SG 8373,Kolkata,10:50:00,New Delhi,13:10,02 h 20 m,6064
334,Vistara,UK 720,Kolkata,07:10:00,New Delhi,09:35,02 h 25 m,6095
335,Vistara,UK 706,Kolkata,10:25:00,New Delhi,12:40,02 h 15 m,6095
336,Vistara,UK 706,Kolkata,10:25:00,New Delhi,12:40,02 h 15 m,6095
337,Vistara,UK 738,Kolkata,18:45:00,New Delhi,21:20,02 h 35 m,6095
